file	line	reference	status
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	54	scripts/aggregate_c3_appendon.py	basename_included_path_resolution_not_proven
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	55	scripts/send_gpu_input.sh	dynamic_or_external_source_reference
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	56	scripts/run_gpu.sh	basename_included_path_resolution_not_proven
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	57	scripts/fetch_gpu_return.sh	dynamic_or_external_source_reference
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	58	analysis/role_complete_pair_matrix/scripts/infer_chembl.py	exact_path_included
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	59	analysis/role_complete_pair_matrix/scripts/model_definitions.py	exact_path_included
analysis/chembl_c3_appendon/scripts/build_cpu_contract.py	60	analysis/role_complete_pair_matrix/scripts/gpu_preflight.py	exact_path_included
analysis/chembl_c3_appendon/scripts/infer_c3_appendon.py	94	scripts/infer_chembl.py	basename_included_path_resolution_not_proven
analysis/chembl_c3_appendon/scripts/infer_c3_appendon.py	136	scripts/infer_chembl.py	basename_included_path_resolution_not_proven
analysis/chembl_c3_appendon/scripts/infer_c3_appendon.py	137	scripts/model_definitions.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	shared.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	build_contract.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	runtime.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	aggregate.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	transfer.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	status.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	4	test_pipeline.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	5	run_gpu.sh	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	5	send_gpu_input.sh	dynamic_or_external_source_reference
analysis/ligand_anchored_chembl/scripts/build_contract.py	5	fetch_gpu_return.sh	dynamic_or_external_source_reference
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	common.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	metrics.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	base_trainer.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	model_definitions.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	gpu_runtime.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	31	queue_jobs.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	33	scripts/infer_chembl.py	basename_included_path_resolution_not_proven
analysis/ligand_anchored_chembl/scripts/build_contract.py	33	scripts/model_definitions.py	basename_included_path_resolution_not_proven
